time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-17 00:00:00+00:00,1,1,0,0
2025-06-26 00:00:00+00:00,1,1,0,0
2025-06-27 00:00:00+00:00,1,1,0,0
2025-06-28 00:00:00+00:00,4,4,0,0
2025-06-29 00:00:00+00:00,5,5,0,0
2025-06-30 00:00:00+00:00,4,4,0,0
2025-07-01 00:00:00+00:00,4,4,0,0
2025-07-02 00:00:00+00:00,4,4,0,0
2025-07-03 00:00:00+00:00,3,3,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-06 00:00:00+00:00,0,0,1,1
2025-07-08 00:00:00+00:00,1,1,0,0
2025-07-18 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,2,2,0,0
2025-09-10 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-10-07 00:00:00+00:00,1,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
2025-11-09 00:00:00+00:00,1,1,0,0
2025-12-03 00:00:00+00:00,2,2,0,0
2025-12-05 00:00:00+00:00,1,1,0,0
2025-12-10 00:00:00+00:00,1,1,0,0
2025-12-22 00:00:00+00:00,1,1,0,0
2025-12-26 00:00:00+00:00,1,1,0,0
2025-12-27 00:00:00+00:00,1,1,0,0
