time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-12 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,2,2,0,0
2025-07-22 00:00:00+00:00,3,3,0,0
2025-07-23 00:00:00+00:00,2,2,0,0
2025-07-24 00:00:00+00:00,12,12,0,0
2025-07-25 00:00:00+00:00,11,11,0,0
2025-08-06 00:00:00+00:00,0,0,1,1
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-18 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,0,0,1,1
2025-10-11 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,1,1,0,0
2025-11-01 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,0,0,1,1
2025-11-11 00:00:00+00:00,1,1,0,0
2025-11-16 00:00:00+00:00,1,1,0,0
2025-11-22 00:00:00+00:00,1,1,0,0
2025-11-25 00:00:00+00:00,1,1,0,0
2025-11-28 00:00:00+00:00,1,1,0,0
2025-11-30 00:00:00+00:00,2,1,0,0
2025-12-01 00:00:00+00:00,1,1,0,0
2025-12-03 00:00:00+00:00,1,1,0,0
2025-12-04 00:00:00+00:00,1,1,0,0
2025-12-07 00:00:00+00:00,2,2,0,0
2025-12-16 00:00:00+00:00,2,2,0,0
