time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,4,4,0,0
2025-07-23 00:00:00+00:00,5,5,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,2,2,0,0
2025-08-30 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,2,2,0,0
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-10-01 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-12 00:00:00+00:00,2,2,0,0
2025-10-16 00:00:00+00:00,1,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,3,3,0,0
2025-11-04 00:00:00+00:00,1,1,0,0
2025-11-10 00:00:00+00:00,1,1,0,0
2025-11-12 00:00:00+00:00,1,1,0,0
2025-11-16 00:00:00+00:00,2,2,0,0
2025-11-19 00:00:00+00:00,1,1,0,0
